No.,Time,Source,Destination,Protocol,Length,Info
3108,"2025-01-12 20:57:32,744487",192.168.1.21,142.250.82.212,UDP,90,58101  >  3478 Len=48
9748,"2025-01-12 20:57:46,531216",192.168.1.21,142.250.82.208,UDP,1247,55959  >  3478 Len=1205
158,"2025-01-12 20:57:22,925980",192.168.1.21,142.250.82.208,UDP,1200,55959  >  3478 Len=1158
6968,"2025-01-12 20:57:40,634832",192.168.1.21,142.250.82.208,UDP,1224,55959  >  3478 Len=1182
6309,"2025-01-12 20:57:39,580874",142.250.82.208,192.168.1.21,RTCP,122,Application specific   subtype=13Sender Report   (PSE:Unknown [Malformed Packet]
1442,"2025-01-12 20:57:25,659402",142.251.141.46,192.168.1.21,QUIC,66,Protected Payload (KP0)
9614,"2025-01-12 20:57:46,391947",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36
8168,"2025-01-12 20:57:43,343385",192.168.1.21,142.250.82.208,UDP,1213,55959  >  3478 Len=1171
8726,"2025-01-12 20:57:44,447516",192.168.1.21,142.250.82.208,UDP,1233,55959  >  3478 Len=1191
7960,"2025-01-12 20:57:42,901232",192.168.1.21,142.250.82.208,UDP,1239,55959  >  3478 Len=1197
4668,"2025-01-12 20:57:36,327714",142.250.82.212,192.168.1.21,RTCP,106,Application specific   subtype=13
7713,"2025-01-12 20:57:42,431291",192.168.1.21,142.250.82.212,UDP,168,58101  >  3478 Len=126
1964,"2025-01-12 20:57:27,445502",142.250.82.212,192.168.1.21,UDP,175,3478  >  58101 Len=133
2424,"2025-01-12 20:57:29,521284",142.250.82.208,192.168.1.21,RTCP,110,Application specific   subtype=13
4029,"2025-01-12 20:57:34,933144",192.168.1.21,142.250.82.208,UDP,1181,55959  >  3478 Len=1139
5460,"2025-01-12 20:57:37,901824",192.168.1.21,142.250.82.208,UDP,1226,55959  >  3478 Len=1184
7631,"2025-01-12 20:57:42,205856",192.168.1.21,142.250.82.208,UDP,844,55959  >  3478 Len=802
9236,"2025-01-12 20:57:45,554744",192.168.1.21,142.250.82.208,UDP,1067,55959  >  3478 Len=1025
8723,"2025-01-12 20:57:44,447462",192.168.1.21,142.250.82.208,UDP,1233,55959  >  3478 Len=1191
10176,"2025-01-12 20:57:47,444295",142.250.82.212,192.168.1.21,UDP,91,3478  >  58101 Len=49
1544,"2025-01-12 20:57:25,816630",142.250.82.208,192.168.1.21,RTCP,146,Application specific   subtype=13Receiver Report   (PSE:Unknown [Malformed Packet]
4984,"2025-01-12 20:57:36,810014",192.168.1.21,142.250.82.208,UDP,1211,55959  >  3478 Len=1169
6216,"2025-01-12 20:57:39,408483",192.168.1.21,142.250.82.208,UDP,1205,55959  >  3478 Len=1163
9287,"2025-01-12 20:57:45,695568",192.168.1.21,142.250.82.208,UDP,1217,55959  >  3478 Len=1175
5683,"2025-01-12 20:57:38,343899",192.168.1.21,142.250.82.208,UDP,1242,55959  >  3478 Len=1200
6769,"2025-01-12 20:57:40,428899",192.168.1.21,142.250.82.208,UDP,1247,55959  >  3478 Len=1205
9062,"2025-01-12 20:57:45,181665",192.168.1.21,142.250.82.208,UDP,1152,55959  >  3478 Len=1110
604,"2025-01-12 20:57:23,916937",192.168.1.21,142.250.82.208,RTCP,118,Sender Report   
2883,"2025-01-12 20:57:31,954754",192.168.1.21,142.250.82.208,UDP,1105,55959  >  3478 Len=1063
7332,"2025-01-12 20:57:41,700315",192.168.1.21,142.250.82.208,UDP,1230,55959  >  3478 Len=1188
394,"2025-01-12 20:57:23,405538",192.168.1.21,142.250.82.208,UDP,1250,55959  >  3478 Len=1208
274,"2025-01-06 10:31:52,345908",40.101.70.194,138.38.28.14,TCP,66,443  >  57069 [ACK] Seq=1 Ack=2 Win=16385 Len=0 SLE=1 SRE=2
10042,"2025-01-12 20:57:47,232777",192.168.1.21,142.250.82.212,UDP,234,58101  >  3478 Len=192
10591,"2025-01-12 20:57:48,433245",192.168.1.21,142.250.82.208,UDP,1141,55959  >  3478 Len=1099
4725,"2025-01-12 20:57:36,430319",192.168.1.21,142.250.82.208,UDP,1209,55959  >  3478 Len=1167
6135,"2025-01-12 20:57:39,241191",192.168.1.21,142.250.82.208,UDP,1218,55959  >  3478 Len=1176
9403,"2025-01-12 20:57:45,912603",192.168.1.21,142.250.82.212,UDP,225,58101  >  3478 Len=183
4344,"2025-01-12 20:57:35,627157",142.250.82.208,192.168.1.21,RTCP,110,Application specific   subtype=13
4398,"2025-01-12 20:57:35,711778",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166
7473,"2025-01-12 20:57:41,974114",192.168.1.21,142.250.82.208,UDP,1227,55959  >  3478 Len=1185
2877,"2025-01-12 20:57:31,947081",192.168.1.21,142.250.82.208,UDP,1142,55959  >  3478 Len=1100
8105,"2025-01-12 20:57:43,217745",192.168.1.21,142.250.82.212,RTCP,130,Receiver Report   
3690,"2025-01-12 20:57:34,207498",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181
6952,"2025-01-12 20:57:40,633711",192.168.1.21,142.250.82.208,UDP,1148,55959  >  3478 Len=1106
16,"2025-01-06 10:31:34,323748",34.36.216.150,138.38.28.14,TCP,66,443  >  56432 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2
5479,"2025-01-12 20:57:37,945287",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164
402,"2025-01-12 20:57:23,417446",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156
6235,"2025-01-12 20:57:39,442419",192.168.1.21,142.250.82.208,UDP,1218,55959  >  3478 Len=1176
1632,"2025-01-12 20:57:26,103100",192.168.1.21,142.250.82.208,RTCP,142,Sender Report   
5640,"2025-01-12 20:57:38,277281",192.168.1.21,142.250.82.208,UDP,1217,55959  >  3478 Len=1175
2475,"2025-01-12 20:57:29,762934",142.250.82.212,192.168.1.21,UDP,167,3478  >  58101 Len=125
5774,"2025-01-12 20:57:38,538950",192.168.1.21,142.250.82.208,UDP,1252,55959  >  3478 Len=1210
4449,"2025-01-12 20:57:35,830754",192.168.1.21,142.250.82.212,UDP,166,58101  >  3478 Len=124
10007,"2025-01-12 20:57:47,096028",192.168.1.21,142.250.82.208,UDP,1251,55959  >  3478 Len=1209
9636,"2025-01-12 20:57:46,393286",192.168.1.21,142.250.82.208,UDP,1252,55959  >  3478 Len=1210
6209,"2025-01-12 20:57:39,408330",192.168.1.21,142.250.82.208,UDP,1204,55959  >  3478 Len=1162
9730,"2025-01-12 20:57:46,530391",192.168.1.21,142.250.82.208,UDP,1247,55959  >  3478 Len=1205
5900,"2025-01-12 20:57:38,758472",192.168.1.21,142.250.82.208,UDP,1214,55959  >  3478 Len=1172
5724,"2025-01-12 20:57:38,416423",192.168.1.21,142.250.82.208,UDP,1116,55959  >  3478 Len=1074
4979,"2025-01-12 20:57:36,809179",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36
7189,"2025-01-12 20:57:41,249371",192.168.1.21,142.250.82.208,UDP,1045,55959  >  3478 Len=1003
2068,"2025-01-12 20:57:27,901933",192.168.1.21,142.250.82.208,UDP,1213,55959  >  3478 Len=1171
4149,"2025-01-12 20:57:35,227269",192.168.1.21,142.250.82.208,UDP,1027,55959  >  3478 Len=985
1600,"2025-01-12 20:57:26,001806",192.168.1.21,142.250.82.208,UDP,1131,55959  >  3478 Len=1089
5741,"2025-01-12 20:57:38,462234",192.168.1.21,142.250.82.208,RTCP,118,Sender Report   
