"No.","Time",                           "Source","Destination","Protocol","Length","Info"
"1","2025-01-12 20:57:22,463278","142.250.82.212","192.168.1.21","RTCP","110","Application specific   subtype=13"
"2","2025-01-12 20:57:22,463278","142.250.82.208","192.168.1.21","RTCP","110","Application specific   subtype=13"
"3","2025-01-12 20:57:22,463354","142.250.82.212","192.168.1.21","UDP","91","3478  >  58101 Len=49"
"4","2025-01-12 20:57:22,470973","192.168.1.21","142.250.82.212","UDP","237","58101  >  3478 Len=195"
"5","2025-01-12 20:57:22,477044","192.168.1.21","142.250.82.208","UDP","970","55959  >  3478 Len=928"
"6","2025-01-12 20:57:22,477671","192.168.1.21","142.250.82.212","RTCP","90","Receiver Report   "
"7","2025-01-12 20:57:22,491641","192.168.1.21","142.250.82.212","UDP","233","58101  >  3478 Len=191"
"8","2025-01-12 20:57:22,510177","192.168.1.21","142.250.82.212","RTCP","114","Receiver Report   "
"9","2025-01-12 20:57:22,510444","192.168.1.21","142.250.82.212","UDP","86","58101  >  3478 Len=44"
"10","2025-01-12 20:57:22,511504","192.168.1.21","142.250.82.212","UDP","241","58101  >  3478 Len=199"
"11","2025-01-12 20:57:22,512685","142.250.82.212","192.168.1.21","RTCP","110","Application specific   subtype=13"
"12","2025-01-12 20:57:22,512685","142.250.82.208","192.168.1.21","RTCP","106","Application specific   subtype=13"
"13","2025-01-12 20:57:22,518382","192.168.1.21","142.250.82.208","UDP","1173","55959  >  3478 Len=1131"
"14","2025-01-12 20:57:22,518470","192.168.1.21","142.250.82.208","UDP","1173","55959  >  3478 Len=1131"
"15","2025-01-12 20:57:22,518482","192.168.1.21","142.250.82.208","UDP","1174","55959  >  3478 Len=1132"
"16","2025-01-12 20:57:22,518492","192.168.1.21","142.250.82.208","UDP","1174","55959  >  3478 Len=1132"
"17","2025-01-12 20:57:22,518500","192.168.1.21","142.250.82.208","UDP","1174","55959  >  3478 Len=1132"
"18","2025-01-12 20:57:22,518528","192.168.1.21","142.250.82.208","UDP","1174","55959  >  3478 Len=1132"
"19","2025-01-12 20:57:22,531711","192.168.1.21","142.250.82.212","UDP","243","58101  >  3478 Len=201"
"20","2025-01-12 20:57:22,547244","192.168.1.21","142.250.82.208","UDP","1195","55959  >  3478 Len=1153"
"21","2025-01-12 20:57:22,547376","192.168.1.21","142.250.82.208","UDP","1195","55959  >  3478 Len=1153"
"22","2025-01-12 20:57:22,547401","192.168.1.21","142.250.82.208","UDP","1195","55959  >  3478 Len=1153"
"23","2025-01-12 20:57:22,547425","192.168.1.21","142.250.82.208","UDP","1195","55959  >  3478 Len=1153"
"24","2025-01-12 20:57:22,547440","192.168.1.21","142.250.82.208","UDP","1195","55959  >  3478 Len=1153"
"25","2025-01-12 20:57:22,547473","192.168.1.21","142.250.82.208","UDP","1195","55959  >  3478 Len=1153"
"26","2025-01-12 20:57:22,547504","192.168.1.21","142.250.82.208","UDP","1195","55959  >  3478 Len=1153"
"27","2025-01-12 20:57:22,547526","192.168.1.21","142.250.82.208","UDP","1195","55959  >  3478 Len=1153"
"28","2025-01-12 20:57:22,547542","192.168.1.21","142.250.82.208","UDP","1195","55959  >  3478 Len=1153"
"29","2025-01-12 20:57:22,547586","192.168.1.21","142.250.82.208","UDP","1196","55959  >  3478 Len=1154"
"30","2025-01-12 20:57:22,547598","192.168.1.21","142.250.82.208","UDP","1196","55959  >  3478 Len=1154"
"31","2025-01-12 20:57:22,551108","192.168.1.21","142.250.82.212","UDP","233","58101  >  3478 Len=191"
"32","2025-01-12 20:57:22,561768","142.250.82.212","192.168.1.21","RTCP","106","Application specific   subtype=13"
"33","2025-01-12 20:57:22,562607","142.250.82.208","192.168.1.21","RTCP","114","Application specific   subtype=13"
"34","2025-01-12 20:57:22,571077","192.168.1.21","142.250.82.212","UDP","229","58101  >  3478 Len=187"
"35","2025-01-12 20:57:22,584357","192.168.1.21","142.250.82.208","UDP","1248","55959  >  3478 Len=1206"
"36","2025-01-12 20:57:22,584517","192.168.1.21","142.250.82.208","UDP","1248","55959  >  3478 Len=1206"
"37","2025-01-12 20:57:22,584571","192.168.1.21","142.250.82.208","UDP","1248","55959  >  3478 Len=1206"
"38","2025-01-12 20:57:22,584605","192.168.1.21","142.250.82.208","UDP","1249","55959  >  3478 Len=1207"
"39","2025-01-12 20:57:22,584630","192.168.1.21","142.250.82.208","UDP","1249","55959  >  3478 Len=1207"
"40","2025-01-12 20:57:22,584670","192.168.1.21","142.250.82.208","UDP","1249","55959  >  3478 Len=1207"
