No.,Time,Source,Destination,Protocol,Length,Info,Label
1,"2025-01-12 20:57:22,463278",142.250.82.212,192.168.1.21,RTCP,110,Application specific   subtype=13,0
2,"2025-01-12 20:57:22,463278",142.250.82.208,192.168.1.21,RTCP,110,Application specific   subtype=13,0
3,"2025-01-12 20:57:22,463354",142.250.82.212,192.168.1.21,UDP,91,3478  >  58101 Len=49,0
4,"2025-01-12 20:57:22,470973",192.168.1.21,142.250.82.212,UDP,237,58101  >  3478 Len=195,0
5,"2025-01-12 20:57:22,477044",192.168.1.21,142.250.82.208,UDP,970,55959  >  3478 Len=928,0
6,"2025-01-12 20:57:22,477671",192.168.1.21,142.250.82.212,RTCP,90,Receiver Report   ,0
7,"2025-01-12 20:57:22,491641",192.168.1.21,142.250.82.212,UDP,233,58101  >  3478 Len=191,0
8,"2025-01-12 20:57:22,510177",192.168.1.21,142.250.82.212,RTCP,114,Receiver Report   ,0
9,"2025-01-12 20:57:22,510444",192.168.1.21,142.250.82.212,UDP,86,58101  >  3478 Len=44,0
10,"2025-01-12 20:57:22,511504",192.168.1.21,142.250.82.212,UDP,241,58101  >  3478 Len=199,0
11,"2025-01-12 20:57:22,512685",142.250.82.212,192.168.1.21,RTCP,110,Application specific   subtype=13,0
12,"2025-01-12 20:57:22,512685",142.250.82.208,192.168.1.21,RTCP,106,Application specific   subtype=13,0
13,"2025-01-12 20:57:22,518382",192.168.1.21,142.250.82.208,UDP,1173,55959  >  3478 Len=1131,1
14,"2025-01-12 20:57:22,518470",192.168.1.21,142.250.82.208,UDP,1173,55959  >  3478 Len=1131,1
15,"2025-01-12 20:57:22,518482",192.168.1.21,142.250.82.208,UDP,1174,55959  >  3478 Len=1132,1
16,"2025-01-12 20:57:22,518492",192.168.1.21,142.250.82.208,UDP,1174,55959  >  3478 Len=1132,1
17,"2025-01-12 20:57:22,518500",192.168.1.21,142.250.82.208,UDP,1174,55959  >  3478 Len=1132,1
18,"2025-01-12 20:57:22,518528",192.168.1.21,142.250.82.208,UDP,1174,55959  >  3478 Len=1132,1
19,"2025-01-12 20:57:22,531711",192.168.1.21,142.250.82.212,UDP,243,58101  >  3478 Len=201,0
20,"2025-01-12 20:57:22,547244",192.168.1.21,142.250.82.208,UDP,1195,55959  >  3478 Len=1153,1
21,"2025-01-12 20:57:22,547376",192.168.1.21,142.250.82.208,UDP,1195,55959  >  3478 Len=1153,1
22,"2025-01-12 20:57:22,547401",192.168.1.21,142.250.82.208,UDP,1195,55959  >  3478 Len=1153,1
23,"2025-01-12 20:57:22,547425",192.168.1.21,142.250.82.208,UDP,1195,55959  >  3478 Len=1153,1
24,"2025-01-12 20:57:22,547440",192.168.1.21,142.250.82.208,UDP,1195,55959  >  3478 Len=1153,1
25,"2025-01-12 20:57:22,547473",192.168.1.21,142.250.82.208,UDP,1195,55959  >  3478 Len=1153,1
26,"2025-01-12 20:57:22,547504",192.168.1.21,142.250.82.208,UDP,1195,55959  >  3478 Len=1153,1
27,"2025-01-12 20:57:22,547526",192.168.1.21,142.250.82.208,UDP,1195,55959  >  3478 Len=1153,1
28,"2025-01-12 20:57:22,547542",192.168.1.21,142.250.82.208,UDP,1195,55959  >  3478 Len=1153,1
29,"2025-01-12 20:57:22,547586",192.168.1.21,142.250.82.208,UDP,1196,55959  >  3478 Len=1154,1
30,"2025-01-12 20:57:22,547598",192.168.1.21,142.250.82.208,UDP,1196,55959  >  3478 Len=1154,1
31,"2025-01-12 20:57:22,551108",192.168.1.21,142.250.82.212,UDP,233,58101  >  3478 Len=191,0
32,"2025-01-12 20:57:22,561768",142.250.82.212,192.168.1.21,RTCP,106,Application specific   subtype=13,0
33,"2025-01-12 20:57:22,562607",142.250.82.208,192.168.1.21,RTCP,114,Application specific   subtype=13,0
34,"2025-01-12 20:57:22,571077",192.168.1.21,142.250.82.212,UDP,229,58101  >  3478 Len=187,0
35,"2025-01-12 20:57:22,584357",192.168.1.21,142.250.82.208,UDP,1248,55959  >  3478 Len=1206,1
36,"2025-01-12 20:57:22,584517",192.168.1.21,142.250.82.208,UDP,1248,55959  >  3478 Len=1206,1
37,"2025-01-12 20:57:22,584571",192.168.1.21,142.250.82.208,UDP,1248,55959  >  3478 Len=1206,1
38,"2025-01-12 20:57:22,584605",192.168.1.21,142.250.82.208,UDP,1249,55959  >  3478 Len=1207,1
39,"2025-01-12 20:57:22,584630",192.168.1.21,142.250.82.208,UDP,1249,55959  >  3478 Len=1207,1
40,"2025-01-12 20:57:22,584670",192.168.1.21,142.250.82.208,UDP,1249,55959  >  3478 Len=1207,1
41,"2025-01-12 20:57:22,584713",192.168.1.21,142.250.82.208,UDP,1249,55959  >  3478 Len=1207,1
42,"2025-01-12 20:57:22,584741",192.168.1.21,142.250.82.208,UDP,1249,55959  >  3478 Len=1207,1
43,"2025-01-12 20:57:22,584796",192.168.1.21,142.250.82.208,UDP,1249,55959  >  3478 Len=1207,1
44,"2025-01-12 20:57:22,584836",192.168.1.21,142.250.82.208,UDP,1249,55959  >  3478 Len=1207,1
45,"2025-01-12 20:57:22,584865",192.168.1.21,142.250.82.208,UDP,1249,55959  >  3478 Len=1207,1
